message,label
【大xxx商城】您的短信验证码是411146。有效期10分钟，请勿泄漏。,0
注意7月25日中午苏州xxxx公司三车间主管谭xx准备来深入各班组,0
欢迎拨打xxxxx快递公司电话，我司为您提供国内，同城（资料，包裹，礼品）的递送服务，安全.快捷.xxx，谢谢你的光临惠顾[于龙x],1
明天我就准备坐飞机去玩啦,0
【xx城】xx中心xx万㎡法式生活小城，稀缺地段，传世精品，xx-xxx㎡新品即将上线！非常感谢您的来电！VIPxxxxxxx【xx房产】,1
如果问我来南京的哪天是最无聊的，我无可奉告,0
"一个月内“堵车门”盗窃7起,真的假的",0
喜欢?那我明天下班买给你,0
亲爱的bes**，xx网特惠。妃子笑荔枝5斤49元，智利红提4斤58元，美国加州樱桃更低至每斤49元 xxx【xxx】,1
山庄5月22日开业大吉，内设棋牌、茶艺、啤酒广场及农家小炒敬请广大顾客光顾地址xxx向上两百米xxxxxx[xxx],1
热烈祝贺第八届中国东部包装展览会于x月xx日在临x国际会展中心召开，鲁xx各大印包企业前来采购，诚邀您参加xxxxxxxxxxxxxx 包协,1
【xx科技】你正在登录微信，验证码022446。xxx。如果这不是你本人操作，回复JZ可阻止该用户登录你的xx。,0
没想到，多吃胡萝卜还能抑制诱发癌症基因的突变,0
x州银行xxxx期，限量版＂稳进账”理财产品：投资期限xx天（xxxx年x月xx日-xxxx年x月xx日），预期最高收益率x.x%，认,1
【环x友谊xxx】丽人如诗，时装筑梦。x.x—x.x环x友谊Gxx丽人节新品全场xx折，秋冬款低至x折！亲爱的xxxxx,1
为庆祝东xxxx地下工程全面开工，即日起购买xx城客户可获得超级神秘大礼，数量有限，先到先得。热线xxxxxxx【2013，枣庄看东湖xxx】,1
尊敬的会员本月x月x号-x月x号妇女节做活动xxx减xx期待您的光临！因为真珍珠所以真美白、,1
【xxxx】您的验证码1267，该验证码5分xxx，请勿泄漏xxx！,0
三，八有礼。在新x通xxx。我是xxx。我店为您准备超值回馈款。让你实惠又好穿。公司经典原搭套装，显瘦又应季。开春美衣有各色。本次店里还邀请公司专业，模特搭配师特为姐姐您现场立xxx，三.八节。不可错过的节日。我等你喔。[拥抱][拥抱],1
今天带学员买进【xxx】明天必强势表现，关注勿追！现招募诚信新学员！提前预留仓位名额专线xxxx-xxxxx【惠xxx】,1
尊敬的客户:新春开年大吉    爱xx优惠让利迎“三八”将在x月x日零点一一xx:xx分对部分产品和项目进行低价秒杀，凡在规定时间内,1
[xxxxtv]verificationcode:541295,0
2015年大x山龙眼蜂蜜文化节8/1已在大x山风景区xx公园热闹展开,0
贺昨日客户建的【xxx】高开大涨6！庆五一公司现对散户作出巨大优惠，限前30名散户！建仓专线：xxx【xx基金】,1
娱乐网址即将更新到：xxx 即刻进入‘返x.x%水无上限，特此通知！,1
您好！湘乡xxx贝x美奶粉，x月x号一x号，打x折，很多优惠等着你来选购！,1
尊敬的贵宾，全新护养品牌#东xxx#xxx，获得业界专家、媒体、消费者无数好评。其独创肌质寒平热之性，创新呈现肌肤调养系列。xxx，循四季调养之序，特推出切合面部的护理臻品。28天朔望之间，缔造灵透无暇如玉美肌，期待您的莅临 xxx【xxx】,1
"【xxxx游网】尊敬的用户:您好！您正在进行手机验证操作,请输入短信验证码:759977,完成验证.",0
具有重新设计的全新视觉效果和操控xxx,0
【xxxxGame】您的验证码为：904249，该验证码 10 分xxx，请勿泄漏！,0
多维片可以提供一份营养保险,0
xxx，价格合适即可定房，有意者请致电：xxxxxxxxxxx,1
G-319343 é seu código de verificação do xxxxxle.,0
临本店消费包厢均可享受全场啤酒买三打送一打；二、凡当日光临本店消费包厢均可参与猜谜活动，猜中有奖，惊喜多多。（第一轮各房间派一名代表,1
x月xx日xx陶瓷任性大放价全部x.x折，特价抛光砖xx元一片，交定金就送洗衣机，更有xxx，电话xxxxxxxxxxxxx,1
昨天下午茶是蜂蜜厚多士配八喜冰淇淋,0
浠水*xxx！xxx！租xxx，轻松做房东！xxx，一算心乱跳！老带新有奖励！,1
亲，好久没来看我哟！我已经为你改变很多！既能听又能看，五一长假有事干。阅读新版点击 xxx,1
x.x-x.x来张家边xxx！抢xx空调！ 预存xx元：最低=xxx元，最高=xxxx元！预约电话：xxx：xxxxxxxxxxx,1
xxxxxxxx同学表示将不负学校的培育,0
【xx】你的验证码是237253，此验证码用于登录知乎或重置密码。10分xxx。,0
职工可向劳动部门依法投诉、举报,0
像个不保修的太空机器人遭遇了陨石碎片撞击一样全身都散架了,0
我看完差点把电脑砸了~~笑死我了,0
cn/5vO27da【xxxx科技】,0
尊敬的家长您好！临相舞法舞天xxxx春季xxx（x月xx号开课到x月x号结束）火热招生报名中，现在报名更多优惠！收到信息请您回复，xxx！！！,1
【xx趣】验证码:744114，请勿泄露。,0
【猪xx网】您收到一条xx电商回复的新消息，微信关注xxx”或下载猪xxxAPP，保证沟通顺畅。 退订回T,0
【24节气之幸福小满】今天是5.21小满，快来点击查看你的综合运势哦~ xxx,1
名师一对一，针对期末考试进行知识系统梳理，抓重点攻考点，提高学习效率，快速提升孩子成绩！详询xxxxxxx【xxx教育】,1
"xxxxverification code (6869) may only be used once to verify mobile number. For account safety, don&#39;t forward the code to others.",0
【xx】Κωδικός επαλήθευσης xxxxxID:  907002  (Μην τον κοινοποιήσετε σε κανένα άλλο άτομο.),0
xxx”——可以躲在“高尔夫球车”上,0
x，xx开门大吉活动，x家品牌联盟诚邀您进店，红包多多，原装进口大自然、xx地板小杨祝您新年快乐，心想事成！,1
